,type,model,fold,auroc,auprc,minrp,precision,recall,balanced_acc,mcc,f1,f2
0,MIMIC IV Neutropenic Fever,gru,0,0.7996861724520647,0.2105366494954162,0.2236842105263158,0.1302931596091205,0.7547169811320755,0.7419629530406828,0.2333622136944009,0.2222222222222222,0.3853564547206166
1,Physionet Multiperturbed,gru,0,0.7949224235391062,0.3935502458053793,0.4347826086956521,0.4581673306772908,0.3372434017595307,0.6355638496400959,0.3093252276050455,0.3885135135135135,0.3560371517027864
2,Physionet Original,gru,0,0.8658054821744505,0.5392136744896792,0.5362318840579711,0.3870967741935484,0.7741935483870968,0.785492496118682,0.4420467477105375,0.5161290322580645,0.6451612903225806
3,MIMIC IV Neutropenic Fever,gru,1,0.7904876580373269,0.1078814140266634,0.1574074074074074,0.1183673469387755,0.6590909090909091,0.727369484819816,0.2141440839130064,0.2006920415224913,0.344418052256532
4,Physionet Multiperturbed,gru,1,0.7699612403100775,0.1618735253516297,0.2142857142857142,0.119047619047619,0.5555555555555556,0.6881459948320414,0.1900430022966362,0.196078431372549,0.3205128205128205
5,Physionet Original,gru,1,0.8721869524654698,0.5778160493321267,0.5422740524781341,0.3248337028824833,0.8567251461988304,0.7802594602589483,0.4046185781325701,0.4710610932475884,0.6453744493392071
6,MIMIC IV Neutropenic Fever,gru,2,0.8087614090669081,0.2786557011585376,0.2678571428571428,0.1470588235294117,0.6481481481481481,0.7207135852757034,0.2332500581946174,0.2397260273972602,0.3854625550660793
7,Physionet Multiperturbed,gru,2,0.7558265582655826,0.0572343737051691,0.1212121212121212,0.0571428571428571,0.2222222222222222,0.5708672086720867,0.074265801324394,0.0909090909090909,0.1408450704225352
8,Physionet Original,gru,2,0.8595481489066374,0.5370995351896249,0.5255681818181818,0.391705069124424,0.7456140350877193,0.7765035155983344,0.4348288136216263,0.513595166163142,0.6315007429420505
9,MIMIC IV Neutropenic Fever,gru,3,0.7849622219112915,0.1895242649659801,0.2333333333333333,0.1578947368421052,0.6964285714285714,0.746353365048272,0.2602003379329946,0.2574257425742574,0.4140127388535032
10,Physionet Multiperturbed,gru,3,0.6731025299600533,0.0476542736577449,0.1764705882352941,0.048076923076923,0.3125,0.5903378828229028,0.0754234562281921,0.0833333333333333,0.1488095238095238
11,Physionet Original,gru,3,0.8567656925727718,0.5130443610463029,0.4970760233918128,0.3753753753753753,0.7331378299120235,0.7654015997809145,0.41393926879026,0.4965243296921549,0.6157635467980296
12,MIMIC IV Neutropenic Fever,gru,4,0.7851018332053065,0.227900080543994,0.2941176470588235,0.1269841269841269,0.6530612244897959,0.7146282724687025,0.2124927675171056,0.2126245847176079,0.3571428571428571
13,Physionet Multiperturbed,gru,4,0.8032729805013927,0.1544720674769017,0.25,0.1219512195121951,0.4166666666666667,0.6581940575673166,0.1785291388864095,0.1886792452830188,0.2808988764044944
14,Physionet Original,gru,4,0.8606439061127149,0.5373092470279148,0.5102639296187683,0.3746478873239436,0.7800586510263929,0.7820526718166985,0.4315809262062354,0.5061845861084682,0.6412729026036644
